region,date,average_temperature,highest_temperature,lowest_temperature,rainfall,humidity,sunshine_duration,weather_condition
上海,2023-01-01,4.5,7.8,-0.2,0.9,76.0,0.52,中毛毛雨
云南,2023-01-01,7.6,11.5,4.4,4.25,93.0,3.41,小雨
内蒙古,2023-01-01,-9.2,-0.9,-14.7,0.0,49.0,8.96,多云
北京,2023-01-01,-2.4,3.3,-5.8,0.0,35.0,8.54,多云
吉林,2023-01-01,-14.8,-10.4,-19.6,0.0,62.0,8.63,大部晴朗
四川,2023-01-01,6.4,9.6,3.7,0.6,86.0,3.46,小毛毛雨
天津,2023-01-01,-2.5,3.8,-7.0,0.0,55.0,8.0,多云
宁夏,2023-01-01,-5.4,-1.1,-9.1,0.0,35.0,1.57,多云
安徽,2023-01-01,4.4,8.3,-0.6,0.0,69.0,0.0,多云
山东,2023-01-01,1.0,6.8,-3.4,0.0,41.0,7.67,多云
山西,2023-01-01,-2.0,3.3,-7.2,0.0,29.0,6.49,多云
广东,2023-01-01,13.8,20.0,8.2,0.1,59.0,8.93,小毛毛雨
广西,2023-01-01,13.1,19.1,6.8,0.0,62.0,9.69,多云
新疆,2023-01-01,-11.6,-9.9,-13.1,0.0,82.0,6.14,多云
江苏,2023-01-01,5.0,8.8,0.4,0.0,64.0,1.35,多云
江西,2023-01-01,8.6,13.3,4.7,0.0,67.0,9.0,多云
河北,2023-01-01,-1.5,3.8,-4.8,0.0,39.0,5.49,多云
河南,2023-01-01,1.5,6.6,-3.3,0.0,60.0,5.17,多云
浙江,2023-01-01,5.5,10.1,0.8,0.0,68.0,4.83,多云
海南,2023-01-01,16.4,16.8,15.7,4.25,78.0,0.0,大毛毛雨
湖北,2023-01-01,6.7,8.6,4.6,0.7,70.0,0.0,小毛毛雨
湖南,2023-01-01,6.5,10.9,3.5,0.0,82.0,3.85,多云
甘肃,2023-01-01,-3.6,0.6,-6.3,0.0,43.0,7.33,多云
福建,2023-01-01,13.0,15.2,11.4,0.0,60.0,0.39,多云
西藏,2023-01-01,2.6,8.2,-2.9,0.0,15.0,10.0,多云
贵州,2023-01-01,3.0,5.8,1.3,1.9,88.0,0.0,中毛毛雨
辽宁,2023-01-01,-10.1,-4.8,-13.9,0.0,45.0,8.48,晴天
重庆,2023-01-01,8.2,9.5,6.4,1.0,87.0,0.0,小毛毛雨
陕西,2023-01-01,0.3,3.9,-2.8,0.0,69.0,1.0,多云
青海,2023-01-01,-5.5,0.6,-9.4,0.0,37.0,8.27,小雪
黑龙江,2023-01-01,-15.7,-11.849999999999998,-19.2,0.0,62.0,8.36,局部多云
上海,2023-01-02,6.0,8.3,4.3,0.5,78.0,0.0,小毛毛雨
云南,2023-01-02,7.3,11.5,3.7,2.9,91.0,2.22,大毛毛雨
内蒙古,2023-01-02,-10.4,-4.7,-13.9,0.0,57.0,8.74,多云
北京,2023-01-02,-3.2,2.6,-6.0,0.0,37.0,8.92,多云
吉林,2023-01-02,-17.037499999999998,-11.8,-22.7,0.0,64.0,8.63,晴天
四川,2023-01-02,7.2,11.6,4.9,0.0,79.0,5.35,多云
天津,2023-01-02,-4.0,1.4,-7.3,0.0,36.0,8.84,多云
宁夏,2023-01-02,-6.5,-0.1,-11.5,0.0,45.0,8.46,多云
安徽,2023-01-02,4.3,8.8,0.9,0.0,78.0,2.3,多云
山东,2023-01-02,0.1,6.0,-4.0,0.0,44.0,9.0,多云
山西,2023-01-02,-1.0,4.0,-6.1,0.0,31.0,8.67,多云
广东,2023-01-02,15.0,17.9,11.9,1.1,58.0,5.28,小毛毛雨
广西,2023-01-02,13.8,15.3,12.1,1.9,66.0,1.64,大毛毛雨
新疆,2023-01-02,-12.4,-7.8,-15.3,0.0,81.0,8.0,多云
江苏,2023-01-02,4.8,8.8,1.2,0.0,74.0,4.32,多云
江西,2023-01-02,7.4,10.4,5.6,0.0,68.0,8.55,多云
河北,2023-01-02,-2.0,3.4,-5.6,0.0,42.0,8.82,多云
河南,2023-01-02,1.3,7.3,-3.2,0.0,56.0,8.21,多云
浙江,2023-01-02,5.6,6.7,4.6,2.9,82.0,0.0,小毛毛雨
海南,2023-01-02,16.9,17.9,15.4,4.25,79.0,0.0,中雨
湖北,2023-01-02,7.5,10.9,5.5,0.0,62.0,6.89,多云
湖南,2023-01-02,7.0,10.1,5.2,0.5,77.0,1.66,小毛毛雨
甘肃,2023-01-02,-4.6,2.2,-9.3,0.0,41.0,8.97,多云
福建,2023-01-02,13.3,14.8,11.6,0.3,73.0,0.0,小毛毛雨
